author|Vrachliotis, Georg
translator|
title|Swinging Cybernetics
editor|
in|Geregelte Verhältnisse
location|
publisher|
year|2012
pages|142
tag|Raumvorstellung + Raum + priori + posteriori + neutral + geometrie + definiert + behälter + container + verstand + interaktiv + interaktion + entdecken + konstruktion + konstruieren + kultur 
quote|"[Eine Raumvorstellung], in der ""Raum"" nicht als a priori gegeben, etwa als ein neutraler, geometrisch definierter Behälter verstanden wird, sondern interaktiv entdeckt und konstruiert wird. "
dateAdded|20181030_1345
