author|
translator|
title|
editor|
in|wikipedia
location|
publisher|
year|
pages|https://de.wikipedia.org/wiki/Dissoziation_(Neuropsychologie)
tag|dissoziation + auftrennung + lobotomie + neurologie + psychologie + prozess + teil + ausfall + isolation + funktion
significance|secondary
quote|In der Neuropsychologie versteht man unter einer (einfachen) Dissoziation die Auftrennung eines neurologischen Prozesses in Teilprozesse, meist durch Ausfall einer isolierten neurologischen (oft kognitiven) Funktion kenntlich gemacht.
dateAdded|20180627_1157
