author|Simondon, Gilbert
translator|
title|Kritik der Relation zwischen Mensch und technischem Objekt, wie sie die aus der Thermodynamik und Energetik hervorgegangene Vorstellung des Fortschritts darstellt. Rückgriff auf die Informationstheorie
editor|
in|Die Existenzweise technischer Objekte
location|
publisher|
year|1958
pages|113
tag|speicher + rechenmaschine + rechner + computer + übersetzung + kode + kodierung + unterscheid + differenz + gegenwart + gegenwartsfunktion + gedächtnis + wahrnehming + integration + semantik + wort + satz + bau + zuerst + danach + kontinuität + erfahrung + vergangenheit + person + sprache
quote|Das storage der Rechenmaschine oder der Übersetzungsmaschine (die nichts anderes ist als eine klassische Rechenmaschine, die man auf eine bestimmte Art und Weise kodiert hat) unterscheidet sich sehr stark von der Gegenwartsfunktion, durch welche das Gedächtnis im Menschen auf der gleichen Ebene wie die Wahrnehmung und durch die Wahrnehmung hindurch existiert, so dass sie dem gegenwärtigen Wort abhängig vom generellen Bau des Satzes und abhängig von den vorangegangenen Sätzen einen Sinn verleiht, oder auch abhängig von der gesamten Erfahrung, die man in der Vergangenheit über die Person erworben hat, die spricht. 
dateAdded|20180712_0932
