author|Bense, Max
title|Technische Existenz
in|Ausgewählte Schriften Band 3
year|1949
pages|122
tag|landschaft + garten + haus + sanft + hang + leicht + düne + netz + sichtbar + unsichtbar + funktion + relation + aggregat + metall + künstlich + gestein + dorf + stadt + staat + kontinent
quote|"Wir bewohnen keine Landschaften und Gärten, keine Häuser am sanften
Hang oder auf der leichten Dünung, wir bewohnen ein Netz von sichtbaren
und nicht sichtbaren Funktionen und Relationen, Strukturen und Aggregaten aus Metallen und künstlichen Gesteinen, die sie Dörfer, Städte, Staaten und Kontinente genannt haben."
image|
dateAdded|20181105_1625
