author|Wertheimer, Max
translator|
title|
editor|
in|Untersuchungen zur Lehre von der Gestalt
location|
publisher|
year|
pages|302
tag|reiz + anzahl + mensch + entsprechung + gegebenheit + bereich + abhebung + zusammen + getrennt + gestalt
significance|
quote|"Ist eine Anzahl von Reizen zusammen wirksam, so ist für den Menschen im allgemeinen nicht eine entsprechend (""ebenso große"") Anzahl einzelner Gegebenheiten da, [...], sondern es sind Gegebenheiten größeren Bereichs da, in bestimmter Abhebung, bestimmtem Zusammen, bestimmter Getrenntheit."
dateAdded|20180702_1854
