author|Halbwachs, Maurice
title|Das kollektive Gedächtnis und der Raum
in|Architekturwissen.
year|1950
pages|59
tag|ereignis + wandlung + wandel + verhältnis + gruppe + modifikation + ort + verhältnis + relation + tod + hochzeit + ehe + reich + arm + vater + beruf + aufenblick + kollektiv + gedächtnis + gleichzeitig + materiell + material + umgebung + gleich
quote|"Aber ein wirklich schwerwiegendes Ereignis bringt immer eine Wandlung des Verhältnisses der Gruppe zum Ort mit sich, sei es, sie modifiziere den Umfang der Gruppe - beispielsweise ein Todesffall oder eine Hochzeit -, sei es, sie modifiziere den Or, wenn die Familie reicher oder ärmer wird, wenn der Familienvater in eine andere Stellung berufen wird oder den Beruf wechselt. 
Von diesem Augenblick an wird es nicht mehr genau dieselbe Gruppe geben, auch nicht mehr dasselbe kollektive Gedächtnis aber gleichzeitig wird auch die materielle Umgebung nicht mehr dieselbe sein."
image|
dateAdded|20181206_1734
